scope,method,baseline,delta_macro_auroc,lower95,upper95,categories_improved,categories,bootstrap_replicates
validation_all,mlp_42,D_z,-0.2537,-0.31499998657172557,-0.19469249129656716,0,2,2000
validation_all,mlp_42,linear_42,-0.1016,-0.17732749207284312,-0.03209749858096248,0,2,2000
validation_all,mlp_123,D_z,-0.3156,-0.3767074842131884,-0.25287998869538325,0,2,2000
validation_all,mlp_123,linear_123,-0.15109999999999998,-0.22529998992923658,-0.07159749680073936,0,2,2000
validation_all,mlp_2026,D_z,-0.2279,-0.28629998768940573,-0.1748999921995216,0,2,2000
validation_all,mlp_2026,linear_2026,-0.0799,-0.1485999933570624,-0.012794999655727321,0,2,2000
validation_tiny,mlp_42,D_z,-0.29605263157894735,-0.3829589708833811,-0.21821594148395643,0,2,2000
validation_tiny,mlp_42,linear_42,-0.18170278637770898,-0.2664713571390019,-0.10002747521556672,0,2,2000
validation_tiny,mlp_123,D_z,-0.32795665634674925,-0.4069396200016351,-0.24592878772850052,0,2,2000
validation_tiny,mlp_123,linear_123,-0.20989164086687306,-0.28935370875326283,-0.12364860489213228,0,2,2000
validation_tiny,mlp_2026,D_z,-0.27210526315789474,-0.3496307981418079,-0.192194269405404,0,2,2000
validation_tiny,mlp_2026,linear_2026,-0.1691331269349845,-0.25215401985198577,-0.08701818654412734,0,2,2000
