dataset,category,role,stratum,images
AD2,can,target_public_development,mixed_tiny,6
AD2,can,target_public_development,normal,72
AD2,can,target_public_development,thin_only,6
AD2,can,target_public_development,tiny_only,78
AD2,fabric,target_public_development,mixed_tiny,6
AD2,fabric,target_public_development,normal,66
AD2,fabric,target_public_development,other_anomaly,12
AD2,fabric,target_public_development,tiny_only,72
AD2,fruit_jelly,target_public_development,mixed_tiny,36
AD2,fruit_jelly,target_public_development,normal,20
AD2,fruit_jelly,target_public_development,other_anomaly,16
AD2,fruit_jelly,target_public_development,tiny_only,8
AD2,rice,target_public_development,mixed_tiny,12
AD2,rice,target_public_development,normal,42
AD2,rice,target_public_development,other_anomaly,48
AD2,rice,target_public_development,tiny_only,30
AD2,sheet_metal,target_public_development,mixed_tiny,36
AD2,sheet_metal,target_public_development,normal,24
AD2,sheet_metal,target_public_development,other_anomaly,18
AD2,sheet_metal,target_public_development,thin_only,18
AD2,sheet_metal,target_public_development,tiny_only,18
AD2,vial,target_public_development,mixed_tiny,42
AD2,vial,target_public_development,normal,35
AD2,vial,target_public_development,other_anomaly,63
AD2,wallplugs,target_public_development,normal,60
AD2,wallplugs,target_public_development,other_anomaly,30
AD2,wallplugs,target_public_development,tiny_only,60
AD2,walnuts,target_public_development,mixed_tiny,54
AD2,walnuts,target_public_development,normal,60
AD2,walnuts,target_public_development,other_anomaly,18
AD2,walnuts,target_public_development,thin_only,6
AD2,walnuts,target_public_development,tiny_only,12
VisA,candle,source_development_holdout,mixed_tiny,15
VisA,candle,source_development_holdout,normal,100
VisA,candle,source_development_holdout,other_anomaly,46
VisA,candle,source_development_holdout,thin_only,1
VisA,candle,source_development_holdout,tiny_only,38
VisA,capsules,source_fit,mixed_tiny,8
VisA,capsules,source_fit,normal,60
VisA,capsules,source_fit,other_anomaly,56
VisA,capsules,source_fit,tiny_only,36
VisA,cashew,source_validation,mixed_tiny,8
VisA,cashew,source_validation,normal,50
VisA,cashew,source_validation,other_anomaly,52
VisA,cashew,source_validation,thin_only,2
VisA,cashew,source_validation,tiny_only,38
VisA,chewinggum,source_fit,mixed_tiny,31
VisA,chewinggum,source_fit,normal,50
VisA,chewinggum,source_fit,other_anomaly,64
VisA,chewinggum,source_fit,thin_only,2
VisA,chewinggum,source_fit,tiny_only,3
VisA,fryum,source_fit,mixed_tiny,27
VisA,fryum,source_fit,normal,50
VisA,fryum,source_fit,other_anomaly,33
VisA,fryum,source_fit,thin_only,1
VisA,fryum,source_fit,tiny_only,39
VisA,macaroni1,source_fit,mixed_tiny,24
VisA,macaroni1,source_fit,normal,100
VisA,macaroni1,source_fit,other_anomaly,8
VisA,macaroni1,source_fit,thin_only,6
VisA,macaroni1,source_fit,tiny_only,62
VisA,macaroni2,source_fit,mixed_tiny,16
VisA,macaroni2,source_fit,normal,100
VisA,macaroni2,source_fit,other_anomaly,10
VisA,macaroni2,source_fit,thin_only,7
VisA,macaroni2,source_fit,tiny_only,67
VisA,pcb1,source_development_holdout,mixed_tiny,38
VisA,pcb1,source_development_holdout,normal,100
VisA,pcb1,source_development_holdout,other_anomaly,54
VisA,pcb1,source_development_holdout,thin_only,2
VisA,pcb1,source_development_holdout,tiny_only,6
VisA,pcb2,source_fit,mixed_tiny,51
VisA,pcb2,source_fit,normal,100
VisA,pcb2,source_fit,other_anomaly,39
VisA,pcb2,source_fit,thin_only,1
VisA,pcb2,source_fit,tiny_only,9
VisA,pcb3,source_fit,mixed_tiny,42
VisA,pcb3,source_fit,normal,101
VisA,pcb3,source_fit,other_anomaly,53
VisA,pcb3,source_fit,tiny_only,5
VisA,pcb4,source_fit,mixed_tiny,44
VisA,pcb4,source_fit,normal,101
VisA,pcb4,source_fit,other_anomaly,53
VisA,pcb4,source_fit,tiny_only,3
VisA,pipe_fryum,source_validation,mixed_tiny,29
VisA,pipe_fryum,source_validation,normal,50
VisA,pipe_fryum,source_validation,other_anomaly,30
VisA,pipe_fryum,source_validation,thin_only,7
VisA,pipe_fryum,source_validation,tiny_only,34
